epoch,name,value
0.0,geneos.cy_0.geneo_params.radius,3.0014567375183105
0.0,geneos.cy_0.geneo_params.sigma,1.5934358835220337
0.0,geneos.cone_0.geneo_params.apex,4.0
0.0,geneos.cone_0.geneo_params.cone_inc,0.028504133224487305
0.0,geneos.cone_0.geneo_params.cone_radius,0.504399299621582
0.0,geneos.cone_0.geneo_params.radius,3.01213002204895
0.0,geneos.cone_0.geneo_params.sigma,1.1435401439666748
0.0,geneos.neg_0.geneo_params.neg_factor,0.9020757675170898
0.0,geneos.neg_0.geneo_params.radius,8.010126113891602
0.0,geneos.neg_0.geneo_params.sigma,0.6031058430671692
0.0,lambdas_dict.lambda_cone_0,0.21845278143882751
0.0,lambdas_dict.lambda_cy_0,0.0004149973392486572
0.0,lambdas_dict.lambda_neg_0,0.777976930141449
1.0,geneos.cy_0.geneo_params.radius,3.0014564990997314
1.0,geneos.cy_0.geneo_params.sigma,1.593454122543335
1.0,geneos.cone_0.geneo_params.apex,4.0
1.0,geneos.cone_0.geneo_params.cone_inc,0.028504133224487305
1.0,geneos.cone_0.geneo_params.cone_radius,0.5047121047973633
1.0,geneos.cone_0.geneo_params.radius,3.0120294094085693
1.0,geneos.cone_0.geneo_params.sigma,1.1444872617721558
1.0,geneos.neg_0.geneo_params.neg_factor,0.9006896018981934
1.0,geneos.neg_0.geneo_params.radius,8.010232925415039
1.0,geneos.neg_0.geneo_params.sigma,0.6010295748710632
1.0,lambdas_dict.lambda_cone_0,0.22240802645683289
1.0,lambdas_dict.lambda_cy_0,0.0061155096627771854
1.0,lambdas_dict.lambda_neg_0,0.7714863419532776
2.0,geneos.cy_0.geneo_params.radius,3.001451015472412
2.0,geneos.cy_0.geneo_params.sigma,1.5934982299804688
2.0,geneos.cone_0.geneo_params.apex,4.0
2.0,geneos.cone_0.geneo_params.cone_inc,0.028504133224487305
2.0,geneos.cone_0.geneo_params.cone_radius,0.5050045251846313
2.0,geneos.cone_0.geneo_params.radius,3.011967182159424
2.0,geneos.cone_0.geneo_params.sigma,1.145156741142273
2.0,geneos.neg_0.geneo_params.neg_factor,0.8995397686958313
2.0,geneos.neg_0.geneo_params.radius,8.010322570800781
2.0,geneos.neg_0.geneo_params.sigma,0.5993047952651978
2.0,lambdas_dict.lambda_cone_0,0.2222352921962738
2.0,lambdas_dict.lambda_cy_0,0.01108830887824297
2.0,lambdas_dict.lambda_neg_0,0.7666942477226257
3.0,geneos.cy_0.geneo_params.radius,3.0014312267303467
3.0,geneos.cy_0.geneo_params.sigma,1.5935529470443726
3.0,geneos.cone_0.geneo_params.apex,4.0
3.0,geneos.cone_0.geneo_params.cone_inc,0.028504133224487305
3.0,geneos.cone_0.geneo_params.cone_radius,0.5052785277366638
3.0,geneos.cone_0.geneo_params.radius,3.0119309425354004
3.0,geneos.cone_0.geneo_params.sigma,1.1456085443496704
3.0,geneos.neg_0.geneo_params.neg_factor,0.8985927104949951
3.0,geneos.neg_0.geneo_params.radius,8.01039981842041
3.0,geneos.neg_0.geneo_params.sigma,0.5978835821151733
3.0,lambdas_dict.lambda_cone_0,0.2214272916316986
3.0,lambdas_dict.lambda_cy_0,0.015325337648391724
3.0,lambdas_dict.lambda_neg_0,0.763245701789856
4.0,geneos.cy_0.geneo_params.radius,3.001401662826538
4.0,geneos.cy_0.geneo_params.sigma,1.5936062335968018
4.0,geneos.cone_0.geneo_params.apex,4.0
4.0,geneos.cone_0.geneo_params.cone_inc,0.028504133224487305
4.0,geneos.cone_0.geneo_params.cone_radius,0.5055336952209473
4.0,geneos.cone_0.geneo_params.radius,3.011913299560547
4.0,geneos.cone_0.geneo_params.sigma,1.1458914279937744
4.0,geneos.neg_0.geneo_params.neg_factor,0.8978193998336792
4.0,geneos.neg_0.geneo_params.radius,8.010457038879395
4.0,geneos.neg_0.geneo_params.sigma,0.5967203974723816
4.0,lambdas_dict.lambda_cone_0,0.22033879160881042
4.0,lambdas_dict.lambda_cy_0,0.01880347728729248
4.0,lambdas_dict.lambda_neg_0,0.7608636021614075
5.0,geneos.cy_0.geneo_params.radius,3.0013668537139893
5.0,geneos.cy_0.geneo_params.sigma,1.5936553478240967
5.0,geneos.cone_0.geneo_params.apex,4.0
5.0,geneos.cone_0.geneo_params.cone_inc,0.028504133224487305
5.0,geneos.cone_0.geneo_params.cone_radius,0.505774974822998
5.0,geneos.cone_0.geneo_params.radius,3.0119094848632812
5.0,geneos.cone_0.geneo_params.sigma,1.1460704803466797
5.0,geneos.neg_0.geneo_params.neg_factor,0.8971518874168396
5.0,geneos.neg_0.geneo_params.radius,8.010507583618164
5.0,geneos.neg_0.geneo_params.sigma,0.595714807510376
5.0,lambdas_dict.lambda_cone_0,0.21913012862205505
5.0,lambdas_dict.lambda_cy_0,0.02174161933362484
5.0,lambdas_dict.lambda_neg_0,0.759136438369751
6.0,geneos.cy_0.geneo_params.radius,3.001333475112915
6.0,geneos.cy_0.geneo_params.sigma,1.5937002897262573
6.0,geneos.cone_0.geneo_params.apex,4.0
6.0,geneos.cone_0.geneo_params.cone_inc,0.028504133224487305
6.0,geneos.cone_0.geneo_params.cone_radius,0.5060047507286072
6.0,geneos.cone_0.geneo_params.radius,3.011913299560547
6.0,geneos.cone_0.geneo_params.sigma,1.1461679935455322
6.0,geneos.neg_0.geneo_params.neg_factor,0.8965759873390198
6.0,geneos.neg_0.geneo_params.radius,8.010546684265137
6.0,geneos.neg_0.geneo_params.sigma,0.5948464870452881
6.0,lambdas_dict.lambda_cone_0,0.2177393138408661
6.0,lambdas_dict.lambda_cy_0,0.024309860542416573
6.0,lambdas_dict.lambda_neg_0,0.7579491138458252
7.0,geneos.cy_0.geneo_params.radius,3.001296043395996
7.0,geneos.cy_0.geneo_params.sigma,1.5937379598617554
7.0,geneos.cone_0.geneo_params.apex,4.0
7.0,geneos.cone_0.geneo_params.cone_inc,0.028504133224487305
7.0,geneos.cone_0.geneo_params.cone_radius,0.5062258839607239
7.0,geneos.cone_0.geneo_params.radius,3.011929512023926
7.0,geneos.cone_0.geneo_params.sigma,1.1461961269378662
7.0,geneos.neg_0.geneo_params.neg_factor,0.8960776329040527
7.0,geneos.neg_0.geneo_params.radius,8.01058578491211
7.0,geneos.neg_0.geneo_params.sigma,0.5940952301025391
