WKT,Layer,PaperSpace,SubClasses,Linetype,EntityHandle,Text
"LINESTRING (541133.734642 4488966.742487,541152.09481 4489029.627572,541152.130894 4489176.904914,541051.503275 4489323.500352,541075.910734 4489452.210692,541029.051351 4489562.781218,541054.784708 4489582.902017,541140.30276 4489659.524284)",01_Tower_string,,AcDbEntity:AcDbPolyline,,"459",
"LINESTRING (541051.712851 4489574.545965,541054.784708 4489582.902017,541033.052919 4489604.011072,540861.147671 4489642.595755,540758.519523 4489786.64775,540734.745257 4489811.286301)",01_Tower_string,,AcDbEntity:AcDbPolyline,,45A,
"LINESTRING (543348.393596 4488752.440657,543428.183702 4488809.810953,543568.257507 4488933.620102,543726.716791 4489074.097157,543789.049254 4488968.427981,543866.810861 4488836.629968,543855.510365 4488775.072062)",01_Tower_string,,AcDbEntity:AcDbPolyline,,45B,
"LINESTRING (543726.716791 4489074.097157,543867.161981 4489197.939885,544041.555076 4489224.819843,544243.189312 4489255.878194,544360.583781 4489316.151872,544346.66963 4489372.649654,544341.986277 4489381.419194)",01_Tower_string,,AcDbEntity:AcDbPolyline,,45C,
"LINESTRING (544346.66963 4489372.649654,544360.836773 4489445.712318,544364.231834 4489578.813926,544364.992879 4489595.535221)",01_Tower_string,,AcDbEntity:AcDbPolyline,,45D,
"LINESTRING (543867.161981 4489197.939885,543820.884011 4489285.223324,543762.622424 4489399.401174,543707.139433 4489516.92157,543662.984706 4489603.617847,543595.679724 4489695.734419,543533.417891 4489787.387617,543520.75425 4489805.060922)",01_Tower_string,,AcDbEntity:AcDbPolyline,,45F,
"LINESTRING (543533.417891 4489787.387617,543464.587965 4489827.780594,543411.311822 4489862.895224,543324.728256 4489916.444342)",01_Tower_string,,AcDbEntity:AcDbPolyline,,"460",
"LINESTRING (543411.311822 4489862.895224,543444.522266 4489881.209732,543582.01037 4489957.509204,543674.882216 4490008.650506,543930.981362 4490010.368021,544141.810338 4490011.27551,544190.828416 4490081.766004,544192.22347 4490189.135909)",01_Tower_string,,AcDbEntity:AcDbPolyline,,"461",
"LINESTRING (544141.810338 4490011.27551,544123.123758 4489984.965716)",01_Tower_string,,AcDbEntity:AcDbPolyline,,"462",
"LINESTRING (544360.583781 4489316.151872,544470.004775 4489449.441057,544575.068121 4489468.230252,544735.781906 4489486.470582,544777.519429 4489532.906919,544938.091556 4489537.709841,545034.945217 4489540.549718,545112.705597 4489542.793407,545203.968025 4489624.665166,545354.121792 4489757.953496,545481.957891 4489872.408399)",01_Tower_string,,AcDbEntity:AcDbPolyline,,"463",
"LINESTRING (545034.945217 4489540.549718,545017.047394 4489496.712995,544983.017576 4489425.4586)",01_Tower_string,,AcDbEntity:AcDbPolyline,,"464",
"LINESTRING (544938.091556 4489537.709841,544844.244235 4489626.709322,544770.945547 4489695.797344,544689.415523 4489754.750662,544651.576953 4489810.358125)",01_Tower_string,,AcDbEntity:AcDbPolyline,,"465",
"LINESTRING (545203.968025 4489624.665166,545234.600007 4489610.151179,545314.258598 4489544.904356,545381.77094 4489489.196274,545536.886259 4489428.69032,545678.945764 4489432.621089,545708.571107 4489405.521742)",01_Tower_string,,AcDbEntity:AcDbPolyline,,"466",
"LINESTRING (545017.047394 4489496.712995,545138.649875 4489390.951757,545157.812846 4489400.597427)",01_Tower_string,,AcDbEntity:AcDbPolyline,,"467",
"LINESTRING (545678.945764 4489432.621089,545674.722015 4489439.581231)",01_Tower_string,,AcDbEntity:AcDbPolyline,,"468",
"LINESTRING (544844.244235 4489626.709322,544843.158386 4489631.086072)",01_Tower_string,,AcDbEntity:AcDbPolyline,,4EF,
"LINESTRING (544364.231834 4489578.813926,544275.303978 4489651.694676,544176.588457 4489733.194971)",01_Tower_string,,AcDbEntity:AcDbPolyline,,45E,
